U_GPRO,U_CCL,U_TSLA,U_DAL,U_DIS,U_AAL,U_MSFT,U_AAPL,U_GE,U_F
253767.16666666666,3328.0,120106.16666666667,15157.0,201899.0,10728.833333333334,245395.66666666666,215630.08333333334,298013.5833333333,321185.1666666667
254094.29166666666,3327.7083333333335,120386.58333333333,15159.541666666666,202025.875,10722.958333333334,245761.25,216256.95833333334,298665.9166666667,321614.4583333333
255107.04166666666,3339.75,121590.91666666667,15194.041666666666,202436.45833333334,10815.708333333334,247000.08333333334,218085.04166666666,301982.0416666667,322774.1666666667
255454.58333333334,3384.695652173913,122393.66666666667,15268.391304347826,202701.1739130435,11075.695652173914,247850.91304347827,218891.33333333334,302919.7826086957,323802.4347826087
255459.69565217392,3384.0,122392.0,15267.0,202697.0,11075.0,247845.0,218886.0,302916.0,323800.0
255466.0,3384.0,122391.0,15267.333333333334,202693.33333333334,11075.666666666666,247843.66666666666,218882.33333333334,302912.3333333333,323800.3333333333
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
470560.3333333333,441501.7083333333,213672.20833333334,484784.0,544001.625,515930.4166666667,432391.0,360496.1666666667,738188.9583333334,836206.0
470379.1666666667,443751.6666666667,216824.70833333334,490450.7916666667,545887.125,519232.9583333333,434545.4166666667,362773.25,742632.2083333334,841976.7916666666
469390.7083333333,445792.5416666667,217784.125,493881.8333333333,545102.125,521159.3333333333,435057.4583333333,364822.5416666667,747862.9583333334,843597.2916666666
469381.0,445795.0,217778.0,493891.0,545087.0,521167.0,435045.0,364812.0,747870.0,843608.0
470017.6956521739,445450.95652173914,217921.63043478262,494559.39130434784,544855.6086956522,520993.02173913043,434966.17391304346,365110.89130434784,748524.4130434783,842864.0869565217
472179.5652173913,444842.7826086957,219826.26086956522,502540.47826086957,544971.2173913043,521169.9130434783,434929.73913043475,366924.60869565216,755666.5652173914,841413.1739130435
472478.7916666667,446132.6666666667,221216.20833333334,509945.7916666667,546379.8333333334,523933.8333333333,436472.75,368738.5,761273.5833333334,844199.5416666666
474137.7083333333,447636.8333333333,222507.875,515530.4166666667,547559.0,527373.875,437717.875,370598.375,764844.9583333334,846068.0833333334
474800.0833333333,448690.0416666667,222663.83333333334,520893.3333333333,550971.9166666666,531702.7916666666,440143.2083333333,372996.7916666667,767538.9166666666,849509.4166666666
474357.0833333333,450201.2083333333,223424.16666666666,524944.2916666666,552513.75,534434.5833333334,441502.125,374463.75,769254.7083333334,851439.4166666666
474350.0,450192.0,223421.0,524928.0,552506.0,534430.0,441494.0,374455.0,769238.0,851390.0
474350.0,450192.0,223421.0,524928.0,552506.0,534430.0,441494.0,374455.0,769238.0,851390.0
473570.8333333333,450228.6666666667,224616.66666666666,525473.9166666666,554292.25,533870.0833333334,443129.1666666667,376411.375,768783.0833333334,853429.875
473287.7083333333,453212.1666666667,229420.95833333334,530632.8333333334,559543.25,537392.5833333334,448221.0833333333,381013.2083333333,772238.7916666666,857807.125
475319.5416666667,459888.0833333333,233597.20833333334,537177.5,566376.0833333334,543492.0,450697.5,382684.75,777405.8333333334,861864.9583333334
475697.875,463980.6666666667,235791.33333333334,539292.9166666666,571841.8333333334,545706.4166666666,450528.8333333333,385001.7916666667,777391.4583333334,864717.7916666666
477196.1666666667,465629.0833333333,235763.08333333334,540557.0833333334,573788.2083333334,548125.0416666666,450387.5,386294.5,778151.625,865395.4166666666
477193.0,465631.0,235760.0,540543.0,573781.0,548123.0,450377.0,386289.0,778146.0,865385.0
478347.6,466056.8,237660.77142857143,540977.4,574274.2857142857,549002.4571428571,450736.4285714286,386587.0,778488.7714285714,866057.0571428571
481025.2916666667,467653.4583333333,243095.91666666666,543044.125,575612.9166666666,552513.2083333334,452216.7916666667,388067.9166666667,779478.6666666666,868861.25
479961.625,468821.7916666667,244436.79166666666,544997.0,575631.375,553995.0833333334,452579.9583333333,389095.7916666667,780682.75,870203.6666666666
478362.6666666667,470707.4166666667,247232.16666666666,550485.125,576222.3333333334,561943.0416666666,452730.4583333333,391452.0,781670.875,871221.375
475675.875,477757.2916666667,249356.83333333334,564618.9166666666,578839.9166666666,595035.5,452822.4166666667,393685.6666666667,785177.125,877204.2916666666
475359.0,485280.5652173913,250029.65217391305,575029.3913043478,580985.3478260869,615871.5217391305,451044.82608695654,395736.9130434783,789433.9130434783,881088.3478260869
475357.0,485224.0,250021.0,574961.0,580959.0,615763.0,451017.0,395720.0,789349.0,881016.0
478054.05,491558.1,251726.9,582368.05,582304.2105263158,625406.6,452105.6,397789.3,794494.05,885218.2
482467.3333333333,502344.7916666667,255708.83333333334,594693.5833333334,584707.125,639607.0416666666,453670.3333333333,402895.25,804691.3333333334,890392.0
482895.5652173913,501031.3043478261,262325.7826086957,595361.5652173914,586637.5652173914,640285.3913043478,457250.3043478261,411058.47826086957,808705.3478260869,890385.8260869565
481759.9166666667,496620.8333333333,274361.2083333333,589065.5833333334,588225.7916666666,635007.0416666666,462054.4166666667,418413.125,807561.5416666666,892388.875
482285.75,495994.0416666667,277063.25,586299.75,592914.75,636485.25,464527.375,421371.9166666667,807769.5416666666,892533.4583333334
484458.4166666667,499569.5833333333,280702.75,591060.3333333334,598467.1666666666,644222.0,470453.25,427095.5833333333,811563.75,896131.3333333334
484464.0,499581.0,280698.0,591060.0,598457.0,644263.0,470435.0,427083.0,811564.0,896146.0
487153.67391304346,501167.84444444446,285650.73913043475,593725.2,602852.9333333333,645946.6888888889,472350.6666666667,430062.95652173914,815891.2444444444,899239.5111111111
488990.0,502028.9166666667,289421.5833333333,596249.6666666666,607012.4166666666,646290.75,474161.0416666667,433433.4166666667,818608.1666666666,902782.4583333334
490201.8333333333,502560.3333333333,294160.2083333333,598626.3333333334,610064.4166666666,646785.4166666666,476164.4166666667,439540.2083333333,820846.5,907749.1666666666
